new_id,itemid
0,108775015
1,108775044
2,108775051
3,110065001
4,110065002
5,110065011
6,111565001
7,111565003
8,111586001
9,111593001
10,111609001
11,112679048
12,114428026
13,114428030
14,116379047
15,118458003
16,118458004
17,118458028
18,118458029
19,118458038
20,118458039
21,120129001
22,120129014
23,120129018
24,120129025
25,123173001
26,126589006
27,126589007
28,126589010
29,126589011
30,126589012
31,129085001
32,129085026
33,129085027
34,130035001
35,144993001
36,145872001
37,145872037
38,145872043
39,145872051
40,145872052
41,145872053
42,146706001
43,146706004
44,146706005
45,146721001
46,146721002
47,146730001
48,147339034
49,148033001
50,148033006
51,150959011
52,150959013
53,153115019
54,153115020
55,153115021
56,153115039
57,153115040
58,153115043
59,156224001
60,156224002
61,156227001
62,156227002
63,156231001
64,156231002
65,156289011
66,156610001
67,156610010
68,158340001
69,160442007
70,160442010
71,160442042
72,160442043
73,162074062
74,162074069
75,162074071
76,163734002
77,163734054
78,164912039
79,174057027
80,174057028
81,174057032
82,174057033
83,174057035
84,174057036
85,174057037
86,174057038
87,174057039
88,174057040
89,176209023
90,176209025
91,176209033
92,176209035
93,176209039
94,176209040
95,176209044
96,176209046
97,176550020
98,176754001
99,176754003
100,176754019
101,179123001
102,179123040
103,179208001
104,179208008
105,179393001
106,179393018
107,179950001
108,179950002
109,179950017
110,181448022
111,181448102
112,181448103
113,181448104
114,181448105
115,181448106
116,181448109
117,182909001
118,183815013
119,184121021
120,184123020
121,184583014
122,186262001
123,186262006
124,186262013
125,186264014
126,186264015
127,186264016
128,186266004
129,186267001
130,186372011
131,186372042
132,186372045
133,186595001
134,187949019
135,187949020
136,187949025
137,187949026
138,187949028
139,187949029
140,187949030
141,187949031
142,188183001
143,188183008
144,188183009
145,188183010
146,188183012
147,188183014
148,188183015
149,188183016
150,188183018
151,188183020
152,188183021
153,188183022
154,188183023
155,189383001
156,189616001
157,189616006
158,189616007
159,189616008
160,189616009
161,189616014
162,189616015
163,189616016
164,189616028
165,189616032
166,189616038
167,189626001
168,189634001
169,189654001
170,189654045
171,189654046
172,189654047
173,189691044
174,189691063
175,189691067
176,189691075
177,189955076
178,190021001
179,190021003
180,190021021
181,192960023
182,194037001
183,194037002
184,194242047
185,194270002
186,194270046
187,194902033
188,198518010
189,198518017
190,198518020
191,198518023
192,198518031
193,198714001
194,198714006
195,199119038
196,200182001
197,200182002
198,200761028
199,200761029
200,201219001
201,201219003
202,201219011
203,201219012
204,201219013
205,201219014
206,201219016
207,201219017
208,203027045
209,203027047
210,203027048
211,203595040
212,204892024
213,204892029
