itemid,new_id
304766008,0
662916002,1
740909001,2
666382002,3
583534018,4
583534009,5
665532003,6
399256001,7
519583033,8
699667001,9
626887003,10
651346002,11
651275003,12
672018001,13
519222001,14
702935001,15
496762004,16
639046001,17
555326005,18
627195001,19
653249001,20
565320008,21
609570001,22
642646001,23
555326003,24
732545001,25
707155003,26
617725001,27
708806001,28
572955012,29
646085003,30
715226001,31
642975001,32
573716009,33
678604002,34
626440010,35
481529007,36
556625001,37
598795017,38
578020001,39
564786018,40
634009003,41
657283002,42
623434012,43
682832001,44
663714003,45
694414001,46
653841003,47
663588002,48
586336007,49
539723038,50
668224003,51
638899002,52
665201001,53
752607001,54
695545003,55
656719004,56
624251002,57
677738002,58
680263003,59
715606003,60
607427008,61
566621002,62
558407005,63
630141011,64
701113001,65
541097002,66
720459002,67
633450001,68
671301002,69
577299001,70
622618004,71
717664004,72
682189001,73
399201026,74
586282001,75
746817001,76
705966002,77
559630002,78
515042001,79
586273001,80
568069003,81
111609001,82
655261003,83
572582008,84
717779004,85
510126001,86
612907001,87
516701001,88
698601002,89
687169002,90
688605002,91
685844001,92
188183001,93
647751001,94
188183009,95
507910001,96
660599003,97
693242001,98
579865003,99
633130023,100
690933003,101
562251006,102
633130012,103
542119001,104
458239001,105
539723001,106
577175001,107
562245059,108
519583015,109
665508002,110
684340001,111
689009001,112
657166003,113
608069011,114
683247002,115
655833002,116
561307010,117
599580001,118
108775015,119
679278001,120
694478001,121
615986003,122
679278005,123
684981004,124
644828002,125
637643001,126
554450015,127
640639003,128
522347003,129
702208002,130
719031001,131
700294003,132
673900013,133
661435001,134
750520001,135
623434027,136
595773002,137
742570002,138
234432001,139
555973001,140
733361001,141
436261001,142
729928001,143
694321001,144
589222001,145
577294001,146
577294005,147
628425009,148
637667002,149
663236001,150
539723039,151
711547001,152
705786001,153
660327004,154
108775044,155
633825001,156
712587002,157
712587003,158
726638001,159
564364004,160
562245058,161
640735001,162
692930003,163
692930001,164
689109001,165
689109003,166
692066002,167
504154021,168
611929009,169
504154019,170
446224002,171
647471001,172
670437002,173
510159003,174
571083002,175
638521005,176
452511001,177
629042001,178
655248001,179
603545002,180
651300002,181
678963002,182
678707001,183
651348001,184
636407001,185
564786019,186
678692001,187
639151002,188
711411001,189
671983001,190
685863001,191
680597001,192
590928011,193
712924001,194
649437001,195
684825001,196
568601008,197
617036008,198
630084002,199
219075014,200
615303006,201
550309001,202
550309008,203
577513003,204
685417002,205
608458001,206
731146001,207
540701003,208
717063001,209
590560001,210
666651009,211
723370001,212
585355004,213
622094008,214
559616001,215
429322001,216
684588001,217
488012028,218
573085019,219
681315001,220
740235002,221
702064001,222
681196003,223
631649002,224
695051001,225
546519008,226
597901002,227
612288003,228
534165008,229
483373007,230
571052008,231
534164013,232
605872003,233
669908002,234
610032004,235
663010002,236
656104001,237
596877004,238
508987004,239
615269003,240
399087021,241
399087017,242
658495003,243
568601012,244
645942001,245
636455003,246
537732002,247
633809003,248
539878006,249
685848002,250
657476002,251
721060001,252
468480002,253
659379001,254
729617003,255
683356005,256
711957003,257
684209006,258
721059001,259
695170003,260
588588004,261
621760009,262
610055001,263
506191005,264
685791004,265
629061002,266
529953007,267
673900006,268
734105001,269
539723006,270
673144001,271
677049001,272
708090001,273
745783001,274
554450001,275
562245001,276
688432001,277
573085005,278
589599004,279
562251007,280
685383003,281
674071001,282
